"Season_End_Year","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Year","market_value_euro"
2020,"Neco Williams","WAL","DF","18",2001,6,3,230,2.6,0,0,0,0,0,0,1,0,10,9,17,0,0,0,0,0,0.3,0.3,0.1,0.3,0.1,0.03,0.13,0.1,0.13,2020,8e+06
2020,"Sergio Agüero","ARG","FW","31",1988,24,18,1452,16.1,16,3,19,14,2,3,1,0,35,34,105,0.99,0.19,1.18,0.87,1.05,14.5,12.1,2.3,14.4,0.9,0.14,1.04,0.75,0.89,2020,1.8e+07
2020,"João Cancelo","POR","DF","25",1994,17,13,1208,13.4,0,0,0,0,0,0,4,0,42,105,80,0,0,0,0,0,0.6,0.6,2.8,3.3,0.04,0.21,0.25,0.04,0.25,2020,5.5e+07
2020,"Kevin De Bruyne","BEL","MF","28",1991,35,32,2791,31,13,20,33,11,2,2,3,0,139,280,257,0.42,0.64,1.06,0.35,1,7.3,5.8,20,25.8,0.24,0.65,0.88,0.19,0.83,2020,1e+08
2020,"Ederson","BRA","GK","25",1993,35,35,3071,34.1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,2020,5e+07
2020,"Fernandinho","BRA","DF","34",1985,30,26,2397,26.6,0,1,1,0,0,0,9,2,51,213,7,0,0.04,0.04,0,0.04,1,1,0.4,1.4,0.04,0.01,0.05,0.04,0.05,2020,2e+06
2020,"Phil Foden","ENG","FW,MF","19",2000,23,9,901,10,5,2,7,5,0,0,0,0,36,49,102,0.5,0.2,0.7,0.5,0.7,3.3,3.3,1.2,4.5,0.33,0.12,0.45,0.33,0.45,2020,8e+07
2020,"Eric García","ESP","DF","18",2001,13,8,793,8.8,0,0,0,0,0,0,1,0,7,53,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.06,0.02,0.08,0.06,0.08,2020,2e+07
2020,"İlkay Gündoğan","GER","MF","28",1990,31,21,2020,22.4,2,1,3,1,1,2,7,0,39,202,56,0.09,0.04,0.13,0.04,0.09,4,2.4,2.1,4.5,0.18,0.1,0.27,0.11,0.2,2020,4e+07
2020,"Gabriel Jesus","BRA","FW","22",1997,34,21,2030,22.6,14,7,21,14,0,1,3,0,55,37,203,0.62,0.31,0.93,0.62,0.93,18.2,17.4,3.2,20.6,0.81,0.14,0.95,0.77,0.91,2020,6e+07
2020,"Aymeric Laporte","ESP","DF","25",1994,15,14,1097,12.2,1,0,1,1,0,0,1,0,23,112,3,0.08,0,0.08,0.08,0.08,0.5,0.5,0.1,0.7,0.04,0.01,0.05,0.04,0.05,2020,4.5e+07
2020,"Riyad Mahrez","ALG","FW,MF","28",1991,33,21,1944,21.6,11,9,20,10,1,1,0,0,118,120,246,0.51,0.42,0.93,0.46,0.88,7.8,7,10,17,0.36,0.46,0.83,0.33,0.79,2020,4.2e+07
2020,"Benjamin Mendy","FRA","DF","25",1994,19,18,1492,16.6,0,2,2,0,0,0,3,0,60,87,176,0,0.12,0.12,0,0.12,0.4,0.4,1.4,1.8,0.02,0.09,0.11,0.02,0.11,2020,2e+07
