Year,Squad,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,Gls_Per_90,Ast_Per_90,G_plus_A_Per_90,G_minus_PK_Per_90,G_plus_A_minus_PK_Per_90,xG_Expected,npxG_Expected,xAG_Expected,npxG_plus_xAG_Expected,xG_Per_90,xAG_Per_90,xG_plus_xAG_Per_90,npxG_Per_90,npxG_plus_xAG_Per_90,Gls_mean,Gls_std,Gls_max,Gls_sum,Ast_mean,Ast_std,Ast_max,Ast_sum,xG_Expected_mean,xG_Expected_std,xG_Expected_max,xG_Expected_sum,xAG_Expected_mean,xAG_Expected_std,xAG_Expected_max,xAG_Expected_sum,market_value_euro_mean,market_value_euro_std,market_value_euro_max,market_value_euro_sum,attack_core_ratio,eng_player_ratio
2021,Aston Villa,25.2,48.5,38,418,3420,38,52,38,90,47,5,6,71,4,629,1420,1.37,1.0,2.37,1.24,2.24,52.5,47.9,37.4,85.3,1.38,0.98,2.37,1.26,2.25,2.608695652173913,4.008390409614479,14.0,60.0,1.6956521739130435,2.5483467476473955,10.0,39.0,2.5304347826086957,3.6911977339967104,14.5,58.2,1.7,2.0329110341397807,7.4,39.1,18882608.695652176,15580834.73589248,70000000.0,434300000.0,0.043478260869565216,0.5217391304347826
2021,Brighton,25.8,51.1,38,418,3420,38,39,24,63,33,6,9,49,6,685,1516,1.03,0.63,1.66,0.87,1.5,50.9,43.8,33.2,77.0,1.34,0.87,2.21,1.15,2.03,2.0,2.2478059477960657,8.0,40.0,1.1,1.99736668746891,8.0,22.0,2.555,3.031149686348834,13.2,51.1,1.54,1.560836482888515,5.2,30.8,14015000.0,9949571.532694789,40000000.0,280300000.0,0.05,0.4
2021,Burnley,28.3,42.1,38,418,3420,38,32,20,52,29,3,3,48,0,389,1012,0.84,0.53,1.37,0.76,1.29,39.3,36.9,27.7,64.6,1.03,0.73,1.76,0.97,1.7,2.0,3.788527573671675,12.0,36.0,1.0,1.4950900031928038,5.0,18.0,2.3333333333333335,4.064625009836483,13.0,42.0,1.411111111111111,2.0410173036961075,6.8,25.4,5463888.888888889,6750072.016076733,22000000.0,98350000.0,0.1111111111111111,0.6666666666666666
2021,Chelsea,26.0,60.9,38,418,3420,38,56,38,94,48,8,10,51,3,895,1798,1.47,1.0,2.47,1.26,2.26,62.4,54.5,41.5,96.1,1.64,1.09,2.74,1.44,2.53,2.259259259259259,2.313714838366291,7.0,61.0,1.4074074074074074,2.0240716629769056,8.0,38.0,2.4666666666666663,2.8583211855912904,11.4,66.6,1.6592592592592592,2.010981249053701,8.2,44.8,29175925.925925925,19422406.620122515,75000000.0,787750000.0,0.0,0.3333333333333333
2021,Crystal Palace,29.1,40.6,38,418,3420,38,39,29,68,36,3,4,56,2,526,1132,1.03,0.76,1.79,0.95,1.71,34.1,31.0,23.6,54.6,0.9,0.62,1.52,0.82,1.44,2.0,3.3726843908080104,11.0,34.0,1.4705882352941178,1.841115390830499,6.0,25.0,1.6588235294117646,2.598811945757477,8.3,28.2,1.1117647058823528,1.3397212177078,4.0,18.9,8235294.117647059,10368940.470008893,38000000.0,140000000.0,0.11764705882352941,0.47058823529411764
2021,Everton,26.3,46.4,38,418,3420,38,45,32,77,41,4,5,59,2,604,1184,1.18,0.84,2.03,1.08,1.92,45.7,41.9,30.7,72.6,1.2,0.81,2.01,1.1,1.91,1.2962962962962963,3.326060441825744,16.0,35.0,1.2222222222222223,2.006400016357911,7.0,33.0,1.4851851851851852,3.5108298058900447,16.3,40.1,1.0333333333333334,1.478044446089286,5.2,27.900000000000002,15077777.777777778,12072930.092800217,48000000.0,407100000.0,0.07407407407407407,0.4074074074074074
2021,Fulham,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,727,1354,0.68,0.47,1.16,0.61,1.08,40.5,35.9,26.3,62.2,1.07,0.69,1.76,0.95,1.64,1.2,1.6431676725154982,4.0,6.0,1.0,1.7320508075688772,4.0,5.0,2.18,2.6892378102354577,6.3,10.9,1.36,2.2018174311236614,5.2,6.800000000000001,16600000.0,7266360.84983398,25000000.0,83000000.0,0.4,0.4
2021,Leeds United,26.1,57.3,38,418,3420,38,60,45,105,56,4,4,61,1,811,1633,1.58,1.18,2.76,1.47,2.66,55.6,52.5,41.9,94.3,1.46,1.1,2.57,1.38,2.48,3.411764705882353,4.569721319859283,17.0,58.0,2.3529411764705883,3.0606612126832218,9.0,40.0,3.129411764705882,4.3446468075498315,18.2,53.199999999999996,2.1705882352941175,2.3926357604852733,7.9,36.9,14370588.235294119,13984713.292819163,50000000.0,244300000.0,0.058823529411764705,0.35294117647058826
2021,Leicester City,26.5,54.3,38,418,3420,38,64,45,109,54,10,12,61,0,666,1464,1.68,1.18,2.87,1.42,2.61,55.8,46.3,33.7,80.1,1.47,0.89,2.36,1.22,2.11,3.0476190476190474,4.3413844620833855,15.0,64.0,2.0476190476190474,2.3764719749281804,9.0,43.0,2.6714285714285713,4.505124066786935,19.9,56.099999999999994,1.538095238095238,1.6023346062780368,5.1,32.3,21928571.42857143,18099921.073229652,60000000.0,460500000.0,0.047619047619047616,0.38095238095238093
2021,Liverpool,26.8,62.1,38,418,3420,38,65,43,108,59,6,6,40,0,886,2057,1.71,1.13,2.84,1.55,2.68,67.5,62.9,48.3,111.2,1.78,1.27,3.05,1.66,2.93,2.56,5.083306010855534,22.0,64.0,1.6,2.6457513110645903,7.0,40.0,2.6519999999999997,4.938295927409238,19.3,66.3,1.796,2.6645012041030616,8.6,44.9,30840000.0,26782581.40408924,90000000.0,771000000.0,0.08,0.28
