"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2021,"Raphinha","BRA","MF,FW","23",1996,30,26,2360,26.2,6,9,15,6,0,0,3,0,102,97,222,0.23,0.34,0.57,0.23,0.57,5.7,5.7,7.9,13.6,0.22,0.3,0.52,0.22,0.52,2021,4.5e+07
2021,"Tyler Roberts","WAL","MF,FW","21",1999,27,14,1340,14.9,1,2,3,1,0,0,3,0,33,53,89,0.07,0.13,0.2,0.07,0.2,1.8,1.8,2.3,4.1,0.12,0.16,0.28,0.12,0.28,2021,8e+06
2021,"Rodrigo","ESP","MF,FW","29",1991,26,14,1288,14.3,7,2,9,7,0,0,3,0,30,80,118,0.49,0.14,0.63,0.49,0.63,5.1,5.1,3.5,8.7,0.36,0.25,0.6,0.36,0.6,2021,1.2e+07
2021,"Jamie Shackleton","ENG","MF,DF","20",1999,13,3,461,5.1,0,0,0,0,0,0,0,0,7,11,21,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03,2021,2500000
2021,"Pascal Struijk","NED","DF,MF","20",1999,27,22,2075,23.1,1,0,1,1,0,0,3,0,4,71,5,0.04,0,0.04,0.04,0.04,1.7,1.7,0.1,1.8,0.07,0.01,0.08,0.07,0.08,2021,1.5e+07
2021,"Marc Albrighton","ENG","DF,FW","30",1989,31,17,1746,19.4,1,5,6,1,0,0,2,0,46,84,139,0.05,0.26,0.31,0.05,0.31,1.2,1.2,3.5,4.7,0.06,0.18,0.24,0.06,0.24,2021,2500000
2021,"Daniel Amartey","GHA","DF","25",1994,12,8,722,8,1,0,1,1,0,0,3,0,4,24,0,0.12,0,0.12,0.12,0.12,0.4,0.4,0,0.4,0.05,0,0.05,0.05,0.05,2021,1e+07
2021,"Harvey Barnes","ENG","FW,MF","22",1997,25,22,1945,21.6,9,4,13,9,0,0,0,0,105,56,163,0.42,0.19,0.6,0.42,0.6,5.9,5.9,1.6,7.5,0.27,0.07,0.35,0.27,0.35,2021,3.2e+07
2021,"Timothy Castagne","BEL","DF","24",1995,27,27,2345,26.1,2,3,5,2,0,0,1,0,52,91,148,0.08,0.12,0.19,0.08,0.19,1.1,1.1,2.2,3.4,0.04,0.09,0.13,0.04,0.13,2021,2.8e+07
2021,"Hamza Choudhury","ENG","MF","22",1997,10,4,316,3.5,0,0,0,0,0,0,1,0,3,15,1,0,0,0,0,0,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11,2021,4e+06
